+   plus sign
⪭   larger than or equal to
⪮   equals sign with bumpy above
⪯   precedes above single-line equals sign
⪰   succeeds above single-line equals sign
⪱   precedes above single-line not equal to
⪲   succeeds above single-line not equal to
⪳   precedes above equals sign
⪴   succeeds above equals sign
⪵   precedes above not equal to
⪶   succeeds above not equal to
⪷   precedes above almost equal to
⪸   succeeds above almost equal to
⪹   precedes above not almost equal to
⪺   succeeds above not almost equal to
⪻   double precedes
⪼   double succeeds
⪽   subset with dot
⪾   superset with dot
⪿   subset with plus sign below
⫀   superset with plus sign below
⫁   subset with multiplication sign below
⫂   superset with multiplication sign below
⫃   subset of or equal to with dot above
⫄   superset of or equal to with dot above
⫅   subset of above equals sign
⫆   superset of above equals sign
⫇   subset of above tilde operator
⫈   superset of above tilde operator
⫉   subset of above almost equal to
⫊   superset of above almost equal to
⫋   subset of above not equal to
⫌   superset of above not equal to
⫍   square left open box operator
⫎   square right open box operator
⫏   closed subset
⫐   closed superset
⫑   closed subset or equal to
⫒   closed superset or equal to
⫓   subset above superset
⫔   superset above subset
⫕   subset above subset
⫖   superset above superset
⫗   superset beside subset
⫘   superset beside and joined by dash with subset
⫙   element of opening downwards
⫚   pitchfork with tee top
⫛   transversal intersection
⫝̸   forking
⫝   nonforking
⫞   short left tack
⫟   short down tack
⫠   short up tack
⫡   perpendicular with s
⫢   vertical bar triple right turnstile
⫣   double vertical bar left turnstile
⫤   vertical bar double left turnstile
⫥   double vertical bar double left turnstile
⫦   long dash from left member of double vertical
⫧   short down tack with overbar
⫨   short up tack with underbar
⫩   short up tack above short down tack
⫪   double down tack
⫫   double up tack
⫬   double stroke not sign
⫭   reversed double stroke not sign
⫮   does not divide with reversed negation slash
⫯   vertical line with circle above
⫰   vertical line with circle below
⫱   down tack with circle below
⫲   parallel with horizontal stroke
⫳   parallel with tilde operator
⫴   triple vertical bar binary relation
⫵   triple vertical bar with horizontal stroke
⫶   triple colon operator
⫷   triple nested less-than
⫸   triple nested greater-than
⫹   double-line slanted less-than or equal to
⫺   double-line slanted greater-than or equal to
⫻   triple solidus binary relation
⫼   large triple vertical bar operator
⫽   double solidus operator
⫾   white vertical bar
⫿   n-ary white vertical bar
⬰   left arrow with small circle
⬱   three leftwards arrows
⬲   left arrow with circled plus
⬳   long leftwards squiggle arrow
⬴   leftwards two-headed arrow with vertical stroke
⬵   leftwards two-headed arrow with double vertical stroke
⬶   leftwards two-headed arrow from bar
⬷   leftwards two-headed triple dash arrow
⬸   leftwards arrow with dotted stem
⬹   leftwards arrow with tail with vertical stroke
⬺   leftwards arrow with tail with double vertical stroke
⬻   leftwards two-headed arrow with tail
⬼   leftwards two-headed arrow with tail with vertical stroke
⬽   leftwards two-headed arrow with tail with double vertical stroke
⬾   leftwards arrow through x
⬿   wave arrow pointing directly left
⭀   equals sign above leftwards arrow
⭁   reverse tilde operator above leftwards arrow
⭂   leftwards arrow above reverse almost equal to
⭃   rightwards arrow through greater-than
⭄   rightwards arrow through superset
⭇   reverse tilde operator above rightwards arrow
⭈   rightwards arrow above reverse almost equal to
⭉   tilde operator above leftwards arrow
⭊   leftwards arrow above almost equal to
⭋   leftwards arrow above reverse tilde operator
⭌   rightwards arrow above reverse tilde operator
﬩   hebrew letter alternative plus sign
﹢  small plus sign
﹤  small less-than sign
﹥  small greater-than sign
﹦  small equals sign
